id	x	y	cluster	weight<Links>	weight<Total link strength>	label	weight<cluster total n>	weight<cluster country n>	weight<excel top10>	weight<mean percentile>	weight<share top10>	weight<share all>	weight<avg. year>	score<cluster total n>	score<cluster country n>	score<excel top10>	score<mean percentile>	score<share top10>	score<share all>	score<avg. year>
1080	-0.7927	-0.0967	2	203	157.776	80_극지 지역 화산분출물 분석과 고기후 고환경 연구	938	1	0	48.6000000000003	0	0.10660980810234541	2008.0227479526843	938	1	0	48.6000000000003	0	0.10660980810234541	2008.0227479526843
1081	1.1225	0.0109	1	203	68.5771	81_극지 생명체에서 얻을 수 있는 불포화 지방산(크릴 오일, 불포화지방산, dha 등) 연구	342	8	0	39.64958333333331	0	2.3391812865497075	2010.7650130548302	342	8	0	39.64958333333331	0	2.3391812865497075	2010.7650130548302
1082	-0.2431	-0.5111	5	203	115.7026	82_북대서양 진동에 의한 순환과 지구 기후 모델	1336	7	0	25.408968253968062	0	0.5239520958083832	2008.4592164418755	1336	7	0	25.408968253968062	0	0.5239520958083832	2008.4592164418755
1083	0.8993	0.2473	1	203	73.6219	83_극지에 서식하는 감염성 진드기, 세균, 바이러스	301	5	34.00000000000008	64.788	2.4926686217008807	1.6611295681063125	2009.729411764706	301	5	34.00000000000008	64.788	2.4926686217008807	1.6611295681063125	2009.729411764706
1084	0.3226	-0.5992	5	203	121.147	84_알라스카 주변 해역에서 어류, 플랑크톤 등의 생태계 변동 연구	968	18	11.111111111110977	59.57877192982413	1.3256738842244664	1.859504132231405	2009.184575389948	968	18	11.111111111110977	59.57877192982413	1.3256738842244664	1.859504132231405	2009.184575389948
1085	-0.6446	-0.1272	2	203	170.0101	85_남극대륙 빙상 붕괴 가속화에 따른 열역학적 상호작용 모델링 연구 및 질량 균형	2108	53	12.389937106918879	49.63671291460965	1.279968812942694	2.5142314990512333	2011.657336343115	2108	53	12.389937106918879	49.63671291460965	1.279968812942694	2.5142314990512333	2011.657336343115
1086	-0.0512	0.3407	3	203	168.4908	86_영구동토층, 툰드라, 이탄습지, 호수 등 다양한 극지 지역에서 온실가스 방출 및 흡수 연구	610	3	0	20.831111111110935	0	0.49180327868852464	2007.9411764705883	610	3	0	20.831111111110935	0	0.49180327868852464	2007.9411764705883
1087	-0.9519	-0.1988	2	203	125.8107	87_천연가스 수화물, 해양 메탄 수화물	538	25	16.000000000000014	52.32666666666671	5.412719891745605	4.646840148698884	2010.7305785123967	538	25	16.000000000000014	52.32666666666671	5.412719891745605	4.646840148698884	2010.7305785123967
1088	-0.4301	0.3258	3	203	162.3316	88_전지구적 중금속 순환 모델과 극지 지역의 오염 측정	639	58	4.482758620689677	45.084555555555625	1.4730878186968925	9.076682316118937	2006.7109471094711	639	58	4.482758620689677	45.084555555555625	1.4730878186968925	9.076682316118937	2006.7109471094711
1089	0.9186	0.1466	1	203	76.3291	89_북극에 서식하는 동물의 동면	206	1	0	39.9699999999997	0	0.48543689320388345	2009.0663900414938	206	1	0	39.9699999999997	0	0.48543689320388345	2009.0663900414938
1090	-0.577	0.4623	3	203	116.0884	90_극지 지역 기후변화를 반영한 강우, 유출 등의 예측모델 연구	714	5	0	28.97777777777776	0	0.700280112044818	2006.8480725623583	714	5	0	28.97777777777776	0	0.700280112044818	2006.8480725623583
1091	1.028	-0.1708	1	203	59.4184	91_극지 해양 미생물 및 기생충 감염증	338	1	0	2.5	0	0.2958579881656805	2007.5439814814815	338	1	0	2.5	0	0.2958579881656805	2007.5439814814815
1092	-0.9009	-0.2835	2	203	105.2328	92_글로벌 기후 이슈 대응 남극 고해양 연구	307	4	25	52.12000000000001	1.560062402496102	1.3029315960912053	2006.6299019607843	307	4	25	52.12000000000001	1.560062402496102	1.3029315960912053	2006.6299019607843
1093	-0.1306	0.2807	3	203	166.7274	93_연륜기후학을 이용한 소빙기 및 홀로세 기후 복원 연구	559	2	0	37.040000000000546	0	0.35778175313059035	2008.1746268656716	559	2	0	37.040000000000546	0	0.35778175313059035	2008.1746268656716
1094	0.4506	0.2728	1	203	101.4404	94_탄화수소로 오염된 극지 토양의 생물학적 정화	422	26	11.923076923076865	45.4531794871795	4.874213836477961	6.161137440758294	2008.3788187372709	422	26	11.923076923076865	45.4531794871795	4.874213836477961	6.161137440758294	2008.3788187372709
1095	-0.4531	0.0643	2	203	168.8218	95_빙하코어 시추 및 분석을 통한 고기후 환경 복원 연구	696	17	2.941176470588235	44.608901960784486	0.26666666666666644	2.442528735632184	2003.4174228675136	696	17	2.941176470588235	44.608901960784486	0.26666666666666644	2.442528735632184	2003.4174228675136
1096	1.0013	0.6398	4	203	17.8067	96_북극 원주민의 정신 건강 연구	382	1	0	47.866666666667	0	0.2617801047120419	2012.5264483627204	382	1	0	47.866666666667	0	0.2617801047120419	2012.5264483627204
1097	0.9281	0.027	1	203	57.3054	97_남극 해면 동물	306	10	0	45.49212121212115	0	3.2679738562091507	2007.7472527472528	306	10	0	45.49212121212115	0	3.2679738562091507	2007.7472527472528
1098	-0.2675	-0.2136	2	203	92.461	98_북쪽 지방(주로 그린란드, 중국)에서 나타나는 캄브리아기, 오르도비스기 화석	292	37	8.91891891891889	50.93427927927926	5.803048065650622	12.67123287671233	2009.4398826979473	292	37	8.91891891891889	50.93427927927926	5.803048065650622	12.67123287671233	2009.4398826979473
1099	0.2717	-0.5163	5	203	126.9515	99_알래스카 주변해역의 기후변화에 따른 연어류 생태계 변동 연구	615	13	5.384615384615339	45.891987179486954	0.6466512702078464	2.113821138211382	2009.0915697674418	615	13	5.384615384615339	45.891987179486954	0.6466512702078464	2.113821138211382	2009.0915697674418
1100	1.002	0.5921	4	203	18.8209	100_이누이트인의 바이러스(유두종, a형, b형, HIV 등) 감염	149	1	0	79.07	0	0.6711409395973155	2004.5087719298247	149	1	0	79.07	0	0.6711409395973155	2004.5087719298247
1101	-0.8196	0.3316	3	203	130.8066	101_인공위성을 이용한 극지 지역의 관측 데이터 분석 및 모니터링	665	9	0	37.93203333333347	0	1.3533834586466165	2009.921646746348	665	9	0	37.93203333333347	0	1.3533834586466165	2009.921646746348
1102	-0.149	0.0093	2	203	194.3717	102_남극 토양의 생지구화학적 분석 연구	826	8	11.250000000000124	57.24725000000025	0.4609475032010299	0.9685230024213075	2007.9649484536083	826	8	11.250000000000124	57.24725000000025	0.4609475032010299	0.9685230024213075	2007.9649484536083
1103	-1.1183	-0.2466	2	203	134.6635	103_남극 지형의 기원 규명 (고지질학)	483	22	3.6363636363636958	37.91072463768123	0.7858546168958862	4.554865424430641	2006.5392912172574	483	22	3.6363636363636958	37.91072463768123	0.7858546168958862	4.554865424430641	2006.5392912172574
1104	0.3107	-0.3347	1	203	173.665	104_북극해 퇴적물의 영양 구조 및 해양 먹이 그물	522	15	0	28.707333333333334	0	2.8735632183908044	2009.506711409396	522	15	0	28.707333333333334	0	2.8735632183908044	2009.506711409396
1105	0.0751	0.3667	4	203	55.574	105_북극 에스키모 민족의 진화 연구 (고고학)	476	3	0	44.783333333333374	0	0.6302521008403361	2007.611650485437	476	3	0	44.783333333333374	0	0.6302521008403361	2007.611650485437
1106	0.5427	-0.4297	1	203	147.8877	106_알래스카 만의 심해 산호 서식지 연구를 통한 해양 생태계, 기후변화 영향 연구	407	1	100	93.0000000000001	0.9633911368015394	0.2457002457002457	2011.7347417840376	407	1	100	93.0000000000001	0.9633911368015394	0.2457002457002457	2011.7347417840376
1107	-0.6892	-0.3748	2	203	160.7242	107_북극 해저 빙하 지형 및 해빙 퇴적물 연구	915	15	6.666666666666426	43.543656047655766	0.48640498078698574	1.639344262295082	2006.10413354531	915	15	6.666666666666426	43.543656047655766	0.48640498078698574	1.639344262295082	2006.10413354531
1108	0.8883	0.295	1	203	61.1883	108_극한환경 미생물 서식 및 특성 연구	186	30	12.333333333333364	53.17950000000008	15.879828326180306	16.129032258064516	2011.3774509803923	186	30	12.333333333333364	53.17950000000008	15.879828326180306	16.129032258064516	2011.3774509803923
